Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             12.500000                 64.000000            8.000000       
1.000000             7.812500                  64.000000            5.000000       
1.000000             6.250000                  64.000000            4.000000       
1.000000             6.250000                  64.000000            4.000000       
1.000000             6.250000                  64.000000            4.000000       
1.000000             6.250000                  64.000000            4.000000       
1.000000             4.687500                  64.000000            3.000000       
1.000000             4.687500                  64.000000            3.000000       
1.000000             4.687500                  64.000000            3.000000       
1.000000             3.125000                  64.000000            2.000000       
1.000000             3.125000                  64.000000            2.000000       
1.000000             3.125000                  64.000000            2.000000       
1.000000             3.125000                  64.000000            2.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
1.000000             1.562500                  64.000000            1.000000       
2.000000             15.909091                 44.000000            7.000000       
2.000000             6.818182                  44.000000            3.000000       
2.000000             6.818182                  44.000000            3.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             4.545455                  44.000000            2.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
2.000000             2.272727                  44.000000            1.000000       
3.000000             30.434783                 23.000000            7.000000       
3.000000             8.695652                  23.000000            2.000000       
3.000000             8.695652                  23.000000            2.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
3.000000             4.347826                  23.000000            1.000000       
4.000000             31.818182                 22.000000            7.000000       
4.000000             13.636364                 22.000000            3.000000       
4.000000             13.636364                 22.000000            3.000000       
4.000000             9.090909                  22.000000            2.000000       
4.000000             4.545455                  22.000000            1.000000       
