Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             29.801325                 302.000000           90.000000      
1.000000             1.986755                  302.000000           6.000000       
1.000000             1.655629                  302.000000           5.000000       
1.000000             1.655629                  302.000000           5.000000       
1.000000             1.655629                  302.000000           5.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             1.324503                  302.000000           4.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.993377                  302.000000           3.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.662252                  302.000000           2.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
1.000000             0.331126                  302.000000           1.000000       
